iter	Passed	Remaining
0	5	543
1	6	325
2	10	339
3	14	349
4	17	333
5	21	341
6	25	336
7	29	336
8	31	318
9	35	319
10	40	330
11	47	344
12	49	328
13	52	320
14	55	315
15	58	307
16	62	306
17	66	301
18	69	296
19	72	291
20	75	284
21	79	283
22	83	279
23	86	275
24	90	270
25	94	269
26	97	264
27	101	260
28	104	256
29	108	252
30	111	248
31	114	243
32	119	241
33	120	234
34	124	230
35	128	227
36	131	223
37	134	219
38	137	214
39	142	213
40	145	209
41	149	206
42	152	202
43	156	198
44	160	195
45	162	190
46	165	186
47	167	181
48	170	177
49	174	174
50	178	171
51	181	167
52	184	163
53	188	160
54	191	156
55	194	152
56	197	149
57	201	146
58	206	143
59	209	139
60	213	136
61	217	133
62	222	130
63	226	127
64	228	123
65	234	120
66	238	117
67	242	114
68	246	110
69	251	107
70	255	104
71	260	101
72	268	99
73	273	96
74	277	92
75	281	88
76	284	85
77	287	81
78	291	77
79	294	73
80	298	70
81	301	66
82	305	62
83	308	58
84	309	54
85	313	51
86	316	47
87	320	43
88	323	40
89	326	36
90	330	32
91	334	29
92	338	25
93	341	21
94	345	18
95	348	14
96	351	10
97	355	7
98	358	3
99	362	0
